,blockArea,floorSum,groundSum,Pop,DensityB,DensityF,DensityG
42,326232.81784844474,7514.9075665155515,330527.8765167258,10.0,30.652955352412203,1330.688356641586,30.25463420932959
43,326242.2139768504,153387.42577831366,465695.70942847116,13947.0,42750.44553550528,90926.61884916949,29948.7405995571
44,326242.2139779421,580564.1413642708,826329.6809350677,13947.0,42750.44553536221,24023.185392101324,16878.251286118262
45,326242.21397903387,457948.45866830903,703435.3417907113,3877.0,11883.808513662054,8466.018231121729,5511.522907180713
46,326242.2139779421,274490.66322136,557631.7321028038,3877.0,11883.80851370182,14124.341988541284,6952.617250420829
47,326242.2139768504,622208.2139509572,757014.1421026723,18.0,55.17373052549616,28.929222720641825,23.7776271259655
48,326242.2139779421,232136.02741201944,489467.9968552973,18.0,55.17373052531153,77.54074281650261,36.77462084476462
49,326251.613132398,1797.798068039705,326688.2340713351,7411.0,22715.596495740545,4122264.9705485865,22685.236954024323
50,326251.613132398,30714.35117817146,341089.630318242,7411.0,22715.596495740545,241287.8578163475,21727.42687335707
51,326251.6131313062,451860.4872079574,723463.6441713725,3473.0,10645.15809337079,7686.00065356376,4800.5176597060945
52,326251.613132398,527609.1951871291,771148.1424893145,3473.0,10645.158093335165,6582.523639998765,4503.674208160494
53,326251.6131334898,206613.45640605432,481801.1463491618,5955.0,18252.783312870364,28821.93688438534,12359.870965695887
54,326251.613132398,315185.3543969123,576650.1191286875,5955.0,18252.783312931446,18893.644380762944,10326.885926942918
55,326251.6131313062,280580.9212522261,532091.3517791306,1041.0,3190.7888209614143,3710.159605129391,1956.430970958753
56,326251.613132398,359229.7684488809,601748.6748537162,1041.0,3190.7888209507364,2897.8667455510063,1729.958109592954
57,326251.613132398,317171.83386302914,595508.6857207589,64.0,196.1676124311692,201.78336525190457,107.47114447632148
58,326251.6131313062,27992.788336261096,345640.56542431854,64.0,196.16761243182566,2286.3031446244368,185.16345129059638
59,326251.613132398,37059.066894361094,348183.2600550063,7.0,21.45583260965913,188.8876484654588,20.10435538714335
60,326251.613132398,100782.10757435509,398500.1197811282,7.0,21.45583260965913,69.45677331500073,17.565866740127138
61,326251.613132398,7324.9482168350805,328463.5848713933,1.0,3.065118944237019,136.51973644014018,3.0444775191488587
62,326251.613132398,11075.786866732,329096.677807729,1.0,3.065118944237019,90.28703892846379,3.0386207684060507
63,326251.6131313062,7293.4724045045505,328334.7761298625,1.0,3.065118944247276,137.10890293934423,3.0456718955791673
64,326251.6131334898,9445.961703468301,328567.20916521933,1.0,3.0651189442267612,105.86534557225941,3.043517344718207
65,326251.613132398,121.18070658776483,326251.613132398,2.0,6.130237888474038,16504.277424323358,6.130237888474038
66,326251.6131313062,390.517429807265,326446.8718462098,2.0,6.130237888494552,5121.410332407122,6.12657118963666
67,326251.613132398,2337.2284634566513,327170.8795804452,3.0,9.195356832711056,1283.5715664540303,9.169520233118291
68,326261.0153144042,26132.14197070956,338918.0583035166,2604.0,7981.339718110768,99647.39985412279,7683.273098620196
69,326261.0153144042,112803.96651113831,405051.9323209915,2604.0,7981.339718110768,23084.2946443987,6428.805277088293
70,326261.01531331235,126722.0446730026,437618.3665870576,9487.0,29077.945432400255,74864.63799160234,21678.70620693591
71,326261.0153144042,243431.29219141396,534405.46017764,9487.0,29077.945432302942,38971.98225666164,17752.438376745733
